Region ,Dead,Lon,Lat
Mediterranean,2.00,14.8027,33.6199
Mediterranean,<Null>,15.6257,34.4949
Mediterranean,3.00,14.8347,35.6101
Mediterranean,2.00,16.5925,33.2544
Mediterranean,12.00,13.4284,34.8923
Mediterranean,<Null>,13.8240,34.4949
Mediterranean,1.00,15.0709,37.4625
Mediterranean,10.00,13.9897,34.1489
Mediterranean,1.00,14.2660,32.8957
Mediterranean,4.00,13.4624,33.5833
Mediterranean,5.00,15.0884,35.3430
Mediterranean,<Null>,15.9233,34.2968
Mediterranean,<Null>,12.6274,33.9694
Mediterranean,4.00,25.1303,40.5878
Mediterranean,4.00,15.1323,33.5676
Mediterranean,7.00,13.3525,34.0033
Mediterranean,<Null>,15.4619,33.8027
Mediterranean,6.00,27.2293,37.3122
Mediterranean,2.00,13.3086,33.5833
Mediterranean,7.00,14.7368,33.7844
Mediterranean,1.00,-5.3173,35.8903
Mediterranean,8.00,14.8931,35.2084
Mediterranean,2.00,14.3264,34.4443
Mediterranean,14.00,13.9891,34.7106
Mediterranean,4.00,15.2985,35.5931
Mediterranean,2.00,14.4793,34.7597
Mediterranean,6.00,13.8606,35.4170
Mediterranean,2.00,11.2439,33.2557
Mediterranean,1.00,11.1188,33.5057
Mediterranean,11.00,13.3705,32.9948
Mediterranean,5.00,13.3643,32.8915
Mediterranean,15.00,13.3993,32.8811
Mediterranean,<Null>,16.3291,35.2177
Mediterranean,10.00,13.3506,32.8949
Mediterranean,8.00,13.3883,32.8955
Mediterranean,<Null>,12.8185,32.7975
Mediterranean,2.00,12.6232,32.7828
Mediterranean,5.00,26.6943,39.3289
Mediterranean,7.00,15.3994,35.2243
Mediterranean,1.00,12.5327,36.5120
Mediterranean,7.00,12.7695,35.8524
Mediterranean,5.00,12.7153,32.8840
Mediterranean,4.00,-3.9056,35.2488
Mediterranean,1.00,12.2642,35.8613
Mediterranean,<Null>,14.3193,35.1790
Mediterranean,5.00,13.4518,32.8521
Mediterranean,3.00,-2.9098,35.1775
Mediterranean,2.00,-5.3609,35.8759
Mediterranean,14.00,12.0940,32.9422
Mediterranean,2.00,15.7920,36.0812
Mediterranean,6.00,-5.4343,36.0494
